pfas,name,measure,mean,sd,sig,pvalue
29,"1,1,1,3,3-Pentafluorobutane",tail dysplasia ,0,0,No,0.9281
30,"3-(Perfluoro-2-butyl)propane-1,2-diol",tail dysplasia ,0,0,No,0.9281
31,Heptafluorobutyramide,tail dysplasia ,0,0,No,0.9281
32,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol",tail dysplasia ,1.111111111,1.924500897,No,0.1921
33,2-Aminohexafluoropropan-2-ol,tail dysplasia ,0,0,No,0.9281
34,"Perfluoro-3,6,9-trioxatridecanoic acid",tail dysplasia ,0,0,No,0.9281
35,Hexafluoroamylene glycol,tail dysplasia ,0,0,No,0.9281
36,Methyl perfluorohexanoate,tail dysplasia ,0,0,No,0.9281
37,Perfluoro-2-methyl-3-oxahexanoic acid,tail dysplasia ,1.111111111,1.924500897,No,0.1921
38,Perfluoropentanamide,tail dysplasia ,1.111111111,1.924500897,No,0.1921
39,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",tail dysplasia ,0,0,No,0.9281
40,4:4 Fluorotelomer alcohol,tail dysplasia ,0,0,No,0.9281
41,4:2 Fluorotelomer alcohol,tail dysplasia ,0,0,No,0.9281
42,Perfluorobutyraldehyde,tail dysplasia ,0,0,No,0.9281
43,Pentafluoropropanoic anhydride,tail dysplasia ,4.444444444,5.091750772,Yes,<0.0001
44,Perfluoroisobutyl methyl ether,tail dysplasia ,0,0,No,0.9281
45,"Bis(1H,1H-perfluoropropyl)amine",tail dysplasia ,1.111111111,1.924500897,No,0.1921
46,Perfluorooctanesulfonic acid,tail dysplasia ,0,0,No,0.9281
47,Methyl heptafluorobutyrate,tail dysplasia ,0,0,No,0.9281
48,"1H,1H,5H-Perfluoropentanol",tail dysplasia ,1.111111111,1.924500897,No,0.1921
49,3-(Perfluoropropyl)propanol,tail dysplasia ,0,0,No,0.9281
50,11:1 Fluorotelomer alcohol,tail dysplasia ,1.111111111,1.924500897,No,0.1921
51,5H-Octafluoropentanoyl fluoride,tail dysplasia ,3.333333333,3.333333333,Yes,<0.0001
52,"Difluoromethyl 1H,1H-perfluoropropyl",tail dysplasia ,0,0,No,0.9281
53,Heptafluoropropyl trifluorovinyl ether,tail dysplasia ,0,0,No,0.9281
54,"Perfluoro-3,6-dioxaheptanoic acid",tail dysplasia ,1.111111111,1.924500897,No,0.1921
55,Methyl perfluoroethyl ketone,tail dysplasia ,0,0,No,0.9281
56,3-(Perfluoroisopropyl)-2-propenoic acid,tail dysplasia ,0,0,No,0.9281
57,Potassium perfluorobutanesulfonate,tail dysplasia ,0,0,No,0.9281
58,Octafluoroadipamide,tail dysplasia ,0,0,No,0.9281
59,"1H,1H,2H-Perfluoro-1-hexene",tail dysplasia ,0,0,No,0.9281
60,Perfluorooctanesulfonamide,tail dysplasia ,0,0,No,0.7694
61,3H-Perfluoro-4-hydroxy-3-penten-2-one,tail dysplasia ,0,0,No,0.7694
62,1-Pentafluoroethylethanol,tail dysplasia ,1.111111111,1.924500897,No,0.7694
63,Perfluoroglutaryl difluoride,tail dysplasia ,0,0,No,0.7694
64,8:2 Fluorotelomer alcohol,tail dysplasia ,0,0,No,0.6041
65,Ethyl perfluorobutyl ether,tail dysplasia ,0,0,No,0.7694
66,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",tail dysplasia ,0,0,No,0.7694
67,Dodecafluoroheptanol,tail dysplasia ,0,0,No,0.7694
68,"1H,1H-Perfluoropentylamine",tail dysplasia ,0,0,No,0.7694
69,6H-Perfluorohex-1-ene,tail dysplasia ,0,0,No,0.7694
70,6:2 Fluorotelomer alcohol,tail dysplasia ,0,0,No,0.7694
71,2-Amino-2H-perfluoropropane,tail dysplasia ,0,0,No,0.7694
72,5H-Perfluoropentanal,tail dysplasia ,0,0,No,0.7694
73,Perfluorobutanesulfonic acid,tail dysplasia ,0,0,No,0.9894
74,Perfluorooctanoic acid,tail dysplasia ,0,0,No,0.7694
1,tris(Trifluoroethoxy)methane,spinal curvature,2.222222222,3.849001795,No,0.6041
2,6:2 Fluorotelomer methacrylate,spinal curvature,1.111111111,1.924500897,No,0.9894
3,Sevoflurane,spinal curvature,2.222222222,3.849001795,No,0.6041
4,4H-Perfluorobutanoic acid,spinal curvature,2.222222222,1.924500897,No,0.6056
5,Perfluorooctanesulfonamido ammonium iodide,spinal curvature,1.111111111,1.924500897,No,0.9894
6,Potassium perfluorooctanesulfonate,spinal curvature,2.222222222,3.849001795,No,0.6041
7,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",spinal curvature,1.111111111,1.924500897,No,0.9894
8,Perfluorobutanesulfonyl fluoride,spinal curvature,1.111111111,1.924500897,No,0.9894
9,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,spinal curvature,0,0,No,0.7694
10,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,spinal curvature,1.111111111,1.924500897,No,0.9894
11,Heptafluorobutanol,spinal curvature,2.222222222,1.924500897,No,0.6056
12,Perfluorobutanoic acid,spinal curvature,0,0,No,0.7694
13,"2,2-Difluoroethyl triflate",spinal curvature,0,0,No,0.7694
14,"2H,2H,3H,3H-Perfluorooctanoic acid",spinal curvature,0,0,No,0.7694
15,4:2 Fluorotelomer sulfonic acid,spinal curvature,0,0,No,0.7694
16,N-Methylperfluorooctanesulfonamide,spinal curvature,0,0,No,0.7694
17,Perfluorononanoic acid,spinal curvature,0,0,No,0.7694
18,Allyl perfluoroisopropyl ether,spinal curvature,0,0,No,0.7694
19,Nonafluoropentanamide,spinal curvature,0,0,No,0.7694
20,Perfluorohexanoic acid,spinal curvature,0,0,No,0.7694
21,Ammonium perfluorooctanoate,spinal curvature,1.111111111,1.924500897,No,0.9894
22,1-Propenylperfluoropropane,spinal curvature,0,0,No,0.7694
23,"3,3-Bis(trifluoromethyl)-2-propenoic acid",spinal curvature,3.333333333,3.333333333,No,0.201
24,N-Ethylperfluorooctanesulfonamide,spinal curvature,1.111111111,1.924500897,No,0.9894
25,2-Vinylperfluorobutane,spinal curvature,0,0,No,0.7694
26,Potassium perfluorohexanesulfonate,spinal curvature,0,0,No,0.7694
27,Flurothyl,spinal curvature,0,0,No,0.7694
28,Perfluoro(4-methoxybutanoic) acid,spinal curvature,2.222222222,1.924500897,No,0.6056
29,"1,1,1,3,3-Pentafluorobutane",spinal curvature,0,0,No,0.7694
30,"3-(Perfluoro-2-butyl)propane-1,2-diol",spinal curvature,2.222222222,1.924500897,No,0.6056
31,Heptafluorobutyramide,spinal curvature,0,0,No,0.7694
32,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol",spinal curvature,0,0,No,0.7694
33,2-Aminohexafluoropropan-2-ol,spinal curvature,0,0,No,0.7694
34,"Perfluoro-3,6,9-trioxatridecanoic acid",spinal curvature,0,0,No,0.7694
35,Hexafluoroamylene glycol,spinal curvature,4.444444444,3.849001795,Yes,0.04
36,Methyl perfluorohexanoate,spinal curvature,0,0,No,0.7694
37,Perfluoro-2-methyl-3-oxahexanoic acid,spinal curvature,0,0,No,0.7694
38,Perfluoropentanamide,spinal curvature,0,0,No,0.7694
39,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",spinal curvature,0,0,No,0.7694
40,4:4 Fluorotelomer alcohol,spinal curvature,0,0,No,0.7694
41,4:2 Fluorotelomer alcohol,spinal curvature,0,0,No,0.7694
42,Perfluorobutyraldehyde,spinal curvature,2.222222222,1.924500897,No,0.6056
43,Pentafluoropropanoic anhydride,spinal curvature,0,0,No,0.7694
44,Perfluoroisobutyl methyl ether,spinal curvature,1.111111111,1.924500897,No,0.9894
45,"Bis(1H,1H-perfluoropropyl)amine",spinal curvature,0,0,No,0.7694
46,Perfluorooctanesulfonic acid,spinal curvature,0,0,No,0.7694
47,Methyl heptafluorobutyrate,spinal curvature,1.111111111,1.924500897,No,0.9894
48,"1H,1H,5H-Perfluoropentanol",spinal curvature,6.666666667,3.333333333,Yes,0.0004
49,3-(Perfluoropropyl)propanol,spinal curvature,0,0,No,0.7694
50,11:1 Fluorotelomer alcohol,spinal curvature,0,0,No,0.7694
51,5H-Octafluoropentanoyl fluoride,spinal curvature,0,0,No,0.7694
52,"Difluoromethyl 1H,1H-perfluoropropyl",spinal curvature,0,0,No,0.7694
53,Heptafluoropropyl trifluorovinyl ether,spinal curvature,1.111111111,1.924500897,No,0.9894
54,"Perfluoro-3,6-dioxaheptanoic acid",spinal curvature,0,0,No,0.7694
55,Methyl perfluoroethyl ketone,spinal curvature,2.222222222,1.924500897,No,0.6056
56,3-(Perfluoroisopropyl)-2-propenoic acid,spinal curvature,0,0,No,0.7694
57,Potassium perfluorobutanesulfonate,spinal curvature,0,0,No,0.7694
58,Octafluoroadipamide,spinal curvature,1.111111111,1.924500897,No,0.9894
59,"1H,1H,2H-Perfluoro-1-hexene",spinal curvature,1.111111111,1.924500897,No,0.9894
60,Perfluorooctanesulfonamide,spinal curvature,0,0,No,0.7694
61,3H-Perfluoro-4-hydroxy-3-penten-2-one,spinal curvature,0,0,No,0.7694
62,1-Pentafluoroethylethanol,spinal curvature,0,0,No,0.7694
63,Perfluoroglutaryl difluoride,spinal curvature,0,0,No,0.7694
64,8:2 Fluorotelomer alcohol,spinal curvature,2.222222222,3.849001795,No,0.6041
65,Ethyl perfluorobutyl ether,spinal curvature,0,0,No,0.7694
66,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",spinal curvature,0,0,No,0.7694
67,Dodecafluoroheptanol,spinal curvature,0,0,No,0.7694
68,"1H,1H-Perfluoropentylamine",spinal curvature,0,0,No,0.7694
69,6H-Perfluorohex-1-ene,spinal curvature,0,0,No,0.7694
70,6:2 Fluorotelomer alcohol,spinal curvature,0,0,No,0.7694
71,2-Amino-2H-perfluoropropane,spinal curvature,0,0,No,0.7694
72,5H-Perfluoropentanal,spinal curvature,0,0,No,0.7694
73,Perfluorobutanesulfonic acid,spinal curvature,1.111111111,1.924500897,No,0.9894
74,Perfluorooctanoic acid,spinal curvature,0,0,No,0.7694
1,tris(Trifluoroethoxy)methane,"bcf, 0.5 uM",,,,
2,6:2 Fluorotelomer methacrylate,"bcf, 0.5 uM",,,,
3,Sevoflurane,"bcf, 0.5 uM",,,,
4,4H-Perfluorobutanoic acid,"bcf, 0.5 uM",3.4,1.4,,
5,Perfluorooctanesulfonamido ammonium iodide,"bcf, 0.5 uM",48,6,,
6,Potassium perfluorooctanesulfonate,"bcf, 0.5 uM",288,99,,
7,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid","bcf, 0.5 uM",,,,
8,Perfluorobutanesulfonyl fluoride,"bcf, 0.5 uM",,,,
9,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,"bcf, 0.5 uM",,,,
10,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,"bcf, 0.5 uM",,,,
11,Heptafluorobutanol,"bcf, 0.5 uM",,,,
12,Perfluorobutanoic acid,"bcf, 0.5 uM",2.6,1.3,,
13,"2,2-Difluoroethyl triflate","bcf, 0.5 uM",,,,
14,"2H,2H,3H,3H-Perfluorooctanoic acid","bcf, 0.5 uM",6.7,1,,
15,4:2 Fluorotelomer sulfonic acid,"bcf, 0.5 uM",5.7,1,,
16,N-Methylperfluorooctanesulfonamide,"bcf, 0.5 uM",292,56,,
17,Perfluorononanoic acid,"bcf, 0.5 uM",153,6,,
18,Allyl perfluoroisopropyl ether,"bcf, 0.5 uM",,,,
19,Nonafluoropentanamide,"bcf, 0.5 uM",,,,
20,Perfluorohexanoic acid,"bcf, 0.5 uM",6.6,1.1,,
21,Ammonium perfluorooctanoate,"bcf, 0.5 uM",43,4.5,,
22,1-Propenylperfluoropropane,"bcf, 0.5 uM",,,,
