pfas_id,preferred_name,casrn,img_html
21,Ammonium perfluorooctanoate,3825-26-1,"<img src=""molecules/21.png"" height =""100""></img>"
22,1-Propenylperfluoropropane,355-95-3,"<img src=""molecules/22.png"" height =""100""></img>"
23,"3,3-Bis(trifluoromethyl)-2-propenoic acid",1763-28-6,"<img src=""molecules/23.png"" height =""100""></img>"
24,N-Ethylperfluorooctanesulfonamide,4151-50-2,"<img src=""molecules/24.png"" height =""100""></img>"
25,2-Vinylperfluorobutane,239795-57-4,"<img src=""molecules/25.png"" height =""100""></img>"
26,Potassium perfluorohexanesulfonate,3871-99-6,"<img src=""molecules/26.png"" height =""100""></img>"
27,Flurothyl,333-36-8,"<img src=""molecules/27.png"" height =""100""></img>"
28,Perfluoro(4-methoxybutanoic) acid,863090-89-5,"<img src=""molecules/28.png"" height =""100""></img>"
29,"1,1,1,3,3-Pentafluorobutane",406-58-6,"<img src=""molecules/29.png"" height =""100""></img>"
30,"3-(Perfluoro-2-butyl)propane-1,2-diol",125070-38-4,"<img src=""molecules/30.png"" height =""100""></img>"
31,Heptafluorobutyramide,662-50-0,"<img src=""molecules/31.png"" height =""100""></img>"
32,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol",129301-42-4,"<img src=""molecules/32.png"" height =""100""></img>"
33,2-Aminohexafluoropropan-2-ol,31253-34-6,"<img src=""molecules/33.png"" height =""100""></img>"
34,"Perfluoro-3,6,9-trioxatridecanoic acid",330562-41-9,"<img src=""molecules/34.png"" height =""100""></img>"
35,Hexafluoroamylene glycol,376-90-9,"<img src=""molecules/35.png"" height =""100""></img>"
36,Methyl perfluorohexanoate,424-18-0,"<img src=""molecules/36.png"" height =""100""></img>"
37,Perfluoro-2-methyl-3-oxahexanoic acid,13252-13-6,"<img src=""molecules/37.png"" height =""100""></img>"
38,Perfluoropentanamide,355-81-7,"<img src=""molecules/38.png"" height =""100""></img>"
39,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",132424-36-3,"<img src=""molecules/39.png"" height =""100""></img>"
40,4:4 Fluorotelomer alcohol,3792-02-7,"<img src=""molecules/40.png"" height =""100""></img>"
41,4:2 Fluorotelomer alcohol,2043-47-2,"<img src=""molecules/41.png"" height =""100""></img>"
42,Perfluorobutyraldehyde,375-02-0,"<img src=""molecules/42.png"" height =""100""></img>"
43,Pentafluoropropanoic anhydride,356-42-3,"<img src=""molecules/43.png"" height =""100""></img>"
44,Perfluoroisobutyl methyl ether,163702-08-7,"<img src=""molecules/44.png"" height =""100""></img>"
45,"Bis(1H,1H-perfluoropropyl)amine",883498-76-8,"<img src=""molecules/45.png"" height =""100""></img>"
46,Perfluorooctanesulfonic acid,1763-23-1,"<img src=""molecules/46.png"" height =""100""></img>"
47,Methyl heptafluorobutyrate,356-24-1,"<img src=""molecules/47.png"" height =""100""></img>"
48,"1H,1H,5H-Perfluoropentanol",355-80-6,"<img src=""molecules/48.png"" height =""100""></img>"
49,3-(Perfluoropropyl)propanol,679-02-7,"<img src=""molecules/49.png"" height =""100""></img>"
50,11:1 Fluorotelomer alcohol,423-65-4,"<img src=""molecules/50.png"" height =""100""></img>"
51,5H-Octafluoropentanoyl fluoride,813-03-6,"<img src=""molecules/51.png"" height =""100""></img>"
52,"Difluoromethyl 1H,1H-perfluoropropyl",56860-81-2,"<img src=""molecules/52.png"" height =""100""></img>"
53,Heptafluoropropyl trifluorovinyl ether,1623-05-8,"<img src=""molecules/53.png"" height =""100""></img>"
54,"Perfluoro-3,6-dioxaheptanoic acid",151772-58-6,"<img src=""molecules/54.png"" height =""100""></img>"
55,Methyl perfluoroethyl ketone,374-41-4,"<img src=""molecules/55.png"" height =""100""></img>"
56,3-(Perfluoroisopropyl)-2-propenoic acid,243139-64-2,"<img src=""molecules/56.png"" height =""100""></img>"
57,Potassium perfluorobutanesulfonate,29420-49-3,"<img src=""molecules/57.png"" height =""100""></img>"
58,Octafluoroadipamide,355-66-8,"<img src=""molecules/58.png"" height =""100""></img>"
59,"1H,1H,2H-Perfluoro-1-hexene",19430-93-4,"<img src=""molecules/59.png"" height =""100""></img>"
